"date","value"
"2016-05-15",1235.5429
"2016-05-15",1233.6204
"2016-05-15",1725.7286
"2016-05-15",2176.3622
"2016-05-15",2099.2986
"2016-05-15",2037.3998
"2016-05-15",2000.7529
"2016-05-15",1977.2071
"2016-05-15",1937.3121
"2016-05-16",1898.9293
"2016-05-16",1870.4327
"2016-05-16",1848.103
"2016-05-16",1855.4878
"2016-05-16",1835.001
"2016-05-16",1825.9844
"2016-05-16",1816.4021
"2016-05-16",1831.8365
"2016-05-16",1855.8858
"2016-05-16",1549.1518
"2016-05-16",1050.5298
"2016-05-16",1203.1097
"2016-05-16",1396.79
"2016-05-16",1536.999
"2016-05-16",1798.7329
"2016-05-16",2018.2737
"2016-05-16",2179.1574
"2016-05-16",2318.1611
"2016-05-16",2349.1548
"2016-05-16",2365.4916
"2016-05-16",2356.9769
"2016-05-16",2314.9317
"2016-05-16",2247.2379
"2016-05-16",2220.9502
"2016-05-16",2180.0524
"2016-05-16",2246.2718
"2016-05-16",2178.2495
"2016-05-16",2126.758
"2016-05-16",2081.5528
"2016-05-16",2013.0202
"2016-05-16",1948.3253
"2016-05-16",1860.5876
"2016-05-16",1728.8208
"2016-05-16",1655.4218
"2016-05-16",1570.9434
"2016-05-16",1554.9488
"2016-05-16",1470.1441
"2016-05-16",1432.7063
"2016-05-16",1405.962
"2016-05-16",1370.7857
"2016-05-16",1362.1278
"2016-05-16",1872.9858
"2016-05-16",2252.1745
"2016-05-16",2160.4352
"2016-05-16",2116.6797
"2016-05-16",2077.2443
"2016-05-16",2014.6893
"2016-05-16",1970.4297
"2016-05-17",1938.9366
"2016-05-17",1914.0649
"2016-05-17",1889.2692
"2016-05-17",1875.0635
"2016-05-17",1865.769
"2016-05-17",1867.5785
"2016-05-17",1858.9716
"2016-05-17",1869.9038
"2016-05-17",1900.7576
"2016-05-17",1598.7262
"2016-05-17",1089.2085
"2016-05-17",1247.5218
"2016-05-17",1435.0694
"2016-05-17",1623.3433
"2016-05-17",1856.2749
"2016-05-17",2077.0996
"2016-05-17",2233.0692
"2016-05-17",2331.134
"2016-05-17",2380.9936
"2016-05-17",2416.1611
"2016-05-17",2410.4391
"2016-05-17",2345.9059
"2016-05-17",2285.5826
"2016-05-17",2306.579
"2016-05-17",2256.7153
"2016-05-17",2238.5727
"2016-05-17",2217.3802
"2016-05-17",2208.1153
"2016-05-17",2108.4523
"2016-05-17",2058.4616
"2016-05-17",1971.194
"2016-05-17",1896.1078
"2016-05-17",1796.7402
"2016-05-17",1738.6386
"2016-05-17",1638.0771
"2016-05-17",1563.3172
"2016-05-17",1462.9654
"2016-05-17",1423.5849
"2016-05-17",1409.1138
"2016-05-17",1351.7051
"2016-05-17",1371.5313
"2016-05-17",1862.7105
"2016-05-17",2237.3706
"2016-05-17",2174.137
"2016-05-17",2142.2266
"2016-05-17",2080.6482
"2016-05-17",1999.7697
"2016-05-17",1997.3295
"2016-05-18",1959.2464
"2016-05-18",1932.8552
"2016-05-18",1908.2385
"2016-05-18",1888.2317
"2016-05-18",1865.8666
"2016-05-18",1866.6178
"2016-05-18",1863.7514
"2016-05-18",1874.6441
"2016-05-18",1906.6601
"2016-05-18",1676.49
"2016-05-18",1148.5252
"2016-05-18",1244.4686
"2016-05-18",1433.6267
"2016-05-18",1664.0541
"2016-05-18",1917.6042
"2016-05-18",2182.2697
